district_id,population,cases_per_100k,cases_7days,afd_voteshare_2017
1001,90164,1157.890067,108,7.4495915
1002,246794,1230.58097,130,6.877477777
1003,216530,1686.602318,313,8.792160093
1004,80196,1248.19193,55,10.22690639
1051,133193,935.4845975,36,8.494436183
1053,198019,1272.605154,137,10.14241381
1054,165951,1026.206531,147,5.759938668
1055,200539,887.6078967,152,8.388778925
1056,316103,2095.519498,497,8.511307035
1057,128686,590.5848344,39,7.624229321
1058,274098,833.6434414,105,7.294970548
1059,201156,719.8393287,130,6.505481918
1060,277175,1338.504555,257,8.930661878
1061,131013,902.963828,56,8.160329139
1062,244156,1724.716984,164,9.043460015
2000,1847253,2511.783713,1487,7.768197814
3101,249406,1340.785707,171,8.305350953
3102,104291,2123.864955,103,16.2462922
3103,124371,1498.741668,93,11.5752527
3151,176523,1933.459096,193,11.33052861
3153,136292,1033.076043,92,11.0520657
3154,91297,1462.260534,106,9.810241841
3155,132285,995.5777299,42,9.443703586
3157,134801,1939.154754,212,10.24785748
3158,119622,1174.533113,101,9.804656695
3159,326041,1480.18194,186,8.039955152
3241,1157115,2292.079871,1373,9.361892777
3251,217089,1890.468886,112,8.362061005
3252,148549,1610.916263,111,10.46359441
3254,275817,1902.348296,251,9.253418075
3255,70458,1220.585313,42,9.531049556
3256,121390,1748.084686,251,9.737827715
3257,157820,1608.79483,117,10.20137036
3351,179011,1292.099368,66,11.66264693
3352,198038,1245.720518,131,8.848087103
3353,254431,1481.737681,113,9.915532295
3354,48412,943.9808312,16,7.707122468
3355,184139,938.4215185,72,9.164336195
3356,113928,1430.728179,63,9.519166914
3357,163782,1382.325286,68,8.019300313
3358,140673,1450.171675,29,9.632774929
3359,204512,1329.017368,122,9.41848845
3360,92389,1121.345615,227,9.293225728
3361,137133,1831.069108,46,9.649538675
3401,77559,2707.616137,66,12.92759549
3402,49913,997.7360607,6,9.884251652
3403,169077,1352.638147,56,6.641471905
3404,165251,2423.585939,108,6.17560161
3405,76089,1257.737649,45,10.51228294
3451,124859,1321.490641,33,7.885490009
3452,189694,995.2871467,38,8.821309925
3453,170682,3757.279619,203,8.993941069
3454,326954,2016.185763,204,6.263956578
3455,98704,987.8019128,35,8.135345667
3456,137162,2322.800776,94,5.223442833
3457,170756,952.235939,73,9.139784946
3458,130890,2353.884942,94,8.850528333
3459,358080,2792.113494,206,6.985947151
3460,142814,3393.224754,149,6.944245657
3461,88583,1600.758611,83,8.247341473
3462,56926,1319.256579,61,8.510891207
4011,567559,2507.58071,450,9.451316095
4012,113643,1553.989247,117,12.33669748
5111,621877,2565.941496,457,7.89679857
5112,498686,3572.588763,403,13.02154059
5113,582760,2839.247718,629,11.3317324
5114,227417,2938.654542,225,8.193408626
5116,261034,2708.842526,213,9.3730588
5117,170632,3017.605139,104,10.50473383
5119,210764,3232.525479,215,12.97424486
5120,111338,3019.633908,76,10.52432637
5122,159245,3540.456529,141,9.603493066
5124,355100,3329.484652,442,10.73058196
5154,312465,1899.092698,228,6.874012907
5158,485570,2884.651029,510,9.439454745
5162,451730,2332.366679,337,8.502269289
5166,298863,2495.457785,258,7.4105494
5170,459976,2318.164426,333,9.559970684
5314,329673,2606.825551,326,7.280022612
5315,1087863,2820.943446,863,7.199772595
5316,163729,2662.326161,163,10.19765372
5334,557026,3027.68632,465,7.369658957
5358,264638,3155.253592,280,9.520102906
5362,470615,2291.682161,292,9.515622889
5366,193656,2397.550295,125,9.801854788
5370,255555,3010.702197,261,8.651022272
5374,272057,2819.26214,269,10.48131143
5378,283271,2371.580571,258,7.898750143
5382,600764,2372.312589,392,9.326157722
5512,117565,3081.699485,141,12.42183615
5513,259645,3611.854648,260,16.84308373
5515,315293,1637.524461,104,4.91548485
5554,371339,2173.216387,211,6.095522306
5558,220586,1618.4164,83,6.179430448
5562,614137,3302.194787,639,12.17207077
5566,448220,2162.330998,254,6.444329496
5570,277840,2783.256551,298,7.353345849
5711,334195,2852.825446,233,8.917733946
5754,364938,3521.694096,342,8.631306364
5758,250578,2706.941551,216,10.79246935
5762,140251,2498.377908,219,8.837883267
5766,347514,3034.410124,383,10.72296056
5770,310409,3048.88067,322,10.46022992
5774,307839,1893.197418,194,9.832716351
5911,365587,2673.782164,323,10.36564065
5913,588250,2879.21802,456,10.23802141
5914,188686,3581.081797,400,12.72899423
5915,179916,3428.266524,183,11.02961241
5916,156449,3703.443295,177,13.73792998
5954,324106,2456.912245,257,9.731100073
5958,259777,1992.093218,218,7.931746465
5962,410222,2505.716417,423,11.16831755
5966,133955,2508.305028,105,7.668899132
5970,276944,2202.250274,213,10.56892536
5974,301785,1560.05103,215,9.270835723
5978,394891,3009.438047,360,10.25058725
6411,159878,2247.964073,104,8.273737748
6412,763380,3194.870183,523,8.535970293
6413,130280,4055.112066,99,11.82555152
6414,278474,2906.91411,256,11.08638884
6431,270340,2363.320263,271,12.76444433
6432,297844,2367.346665,286,10.95513655
6433,275726,3107.070062,341,11.95862524
6434,236914,2038.71447,131,10.09861671
6435,420552,3189.379672,423,14.49635304
6436,238558,2281.206248,168,10.43543266
6437,96703,3045.407071,127,12.84455968
6438,355813,3260.420502,413,11.7665035
6439,187160,2471.681983,113,11.4869715
6440,308339,2570.87167,269,12.14299537
6531,270688,2977.597825,210,11.9381555
6532,253319,2426.979421,325,13.72346414
6533,171912,3116.710875,183,12.52435065
6534,247084,2504.006735,126,11.32651986
6535,105643,2212.167394,86,13.79124018
6611,202137,2344.94427,121,9.810465275
6631,223145,3280.826369,376,15.83568779
6632,120719,2471.856129,131,14.43427968
6633,236764,2045.919143,226,11.15741643
6634,179673,2296.950571,180,12.62504805
6635,156406,2436.607291,140,12.25119298
6636,100629,1974.579892,152,10.98867314
7111,114052,2471.679585,145,8.30793755
7131,130086,2004.058853,104,8.721176617
7132,128805,1657.54435,61,10.81269666
7133,158345,2418.769143,207,11.42621832
7134,80951,2368.099221,103,11.87091898
7135,61375,2165.376782,40,8.398635807
7137,214434,1897.087216,162,9.999374208
7138,182811,2547.439705,176,10.46852816
7140,103163,2111.222047,144,9.688116857
7141,122297,1891.297415,95,10.79587474
7143,201904,1986.587685,146,10.71398768
7211,111528,1514.417904,37,7.693459561
7231,112483,1690.922184,54,8.294487606
7232,99058,2088.675322,40,7.267567179
7233,60646,2029.812354,48,8.130428972
7235,149398,1879.543234,79,7.984865716
7311,48762,2741.889176,69,16.25568205
7312,100030,2309.307208,99,13.49243397
7313,46881,2024.274226,49,9.923828686
7314,172253,3747.975362,162,16.02451475
7315,218578,2941.741621,149,7.274907146
7316,53264,2012.616401,45,11.86099141
7317,40231,1874.17663,23,15.81949726
7318,50561,3787.504203,36,13.35579611
7319,83542,2763.879246,84,14.74953618
7320,34193,1237.095312,9,14.3220339
7331,129687,2360.298257,81,13.64040435
7332,132671,2182.08953,156,12.2195245
7333,75325,1919.681381,47,13.4764661
7334,129013,2379.605156,92,16.13160815
7335,105979,2401.419149,98,13.70949862
7336,70219,2151.839246,27,13.76078075
7337,110521,2086.481302,134,12.04512321
7338,154609,2785.090131,136,13.7009338
7339,211417,2263.772544,162,9.707294763
7340,94831,1687.211988,56,12.67393521
8111,635911,2759.348399,450,8.784256735
8115,392807,2667.722317,212,11.65226849
8116,535024,2884.35659,470,11.55800514
8117,258145,2662.457146,133,14.50448813
8118,545423,2955.870948,322,11.783761
8119,427248,2837.930195,204,13.55823396
8121,126592,4235.654702,252,16.1543077
8125,344456,2634.589033,277,15.55204439
8126,112655,2393.147219,35,14.67445795
8127,196761,2344.976901,154,14.32436439
8128,132399,2228.868798,88,13.40364071
8135,132777,2344.532562,61,13.12187399
8136,314025,2833.532362,274,12.12777629
8211,55185,2132.825949,16,10.54735547
8212,312060,1912.773185,190,10.32509143
8215,445101,2397.208723,350,13.40300234
8216,231420,2219.341457,99,12.98577458
8221,161485,2238.598012,62,7.718522726
8222,310658,3217.68633,235,12.7077
8225,143633,2788.356436,131,13.88015658
8226,548355,2572.968241,440,12.70253483
8231,125957,3948.172789,142,19.03209393
8235,159201,3290.180338,131,15.03347535
8236,199556,3025.215979,127,14.80063352
8237,118243,2679.228369,60,14.49746927
8311,231195,2179.11287,102,7.199006706
8315,263601,2167.290716,183,9.168936893
8316,166408,2406.735253,47,9.918331602
8317,430953,2730.228122,555,11.85768926
8325,139878,3348.63238,131,13.64284003
8326,212506,2698.747329,180,12.64328199
8327,140766,3122.202805,171,13.92450338
8335,286305,2167.269171,166,10.20703634
8336,228736,2996.904729,181,10.7450521
8337,171003,2617.497939,156,10.33376554
8415,287034,2951.915104,204,12.79544791
8416,228678,2552.497398,100,8.766106104
8417,189363,2672.644603,147,14.37122313
8421,126790,2566.448458,88,10.08571781
8425,197076,2572.104163,225,12.33613983
8426,201282,2157.66934,150,12.48143419
8435,217470,2026.946245,177,10.20724894
8436,285424,2160.645216,241,10.30319044
8437,130849,2126.879074,125,12.72275288
9161,137392,2884.447421,74,15.20509194
9162,1484226,3481.006262,899,8.333068962
9163,63551,4316.21847,54,14.5894476
9171,111516,3185.193156,105,13.51137647
9172,105929,3704.36802,199,13.02673872
9173,127917,2558.690401,132,11.83704426
9174,154899,3542.953796,116,12.26227281
9175,143649,3137.508789,119,10.3014864
9176,132881,2426.983542,101,14.65037187
9177,138182,3464.271758,65,13.4683538
9178,180007,2959.329359,179,12.2814748
9179,219311,3037.239354,161,10.83936653
9180,88424,2611.282005,54,12.57630557
9181,120302,2324.150887,112,10.85203748
9182,100010,2972.70273,61,11.3158432
9183,115872,3594.483568,162,15.36194767
9184,350473,3082.120449,250,9.363039566
9185,97303,2695.703113,66,14.96782751
9186,128227,2809.080771,45,15.08776315
9187,261330,3836.528527,193,13.61967836
9188,136667,2561.701069,94,8.758299888
9189,177319,3886.780322,169,11.36134163
9190,135478,2199.619126,52,11.6635801
9261,73411,3415.019547,67,12.8440119
9262,52803,4755.411624,116,12.60075612
9263,47791,3036.136511,26,17.09973416
9271,119478,3337.01602,171,18.27166519
9272,78362,4120.619688,105,19.97227577
9273,123058,2459.815697,93,14.80054938
9274,159895,3001.970043,117,15.02505607
9275,192656,4710.4684,384,17.11038259
9276,77410,5041.98424,189,20.37220352
9277,121502,3916.807954,162,15.17871571
9278,101120,3166.53481,74,17.02917072
9279,96683,3177.394164,79,18.18723453
9361,42207,1909.635842,35,14.76202816
9362,153094,2677.440004,53,10.74282039
9363,42743,4134.010247,79,14.41402725
9371,103049,2592.941222,51,12.92517007
9372,127998,2650.822669,176,17.88110201
9373,134573,2787.334755,76,11.9613168
9374,94450,3686.60667,154,13.81806109
9375,194070,2343.48431,114,14.36409274
9376,147872,2835.560485,113,16.66494496
9377,72046,4735.863199,228,12.19657483
9461,77373,2124.772207,64,11.37580489
9462,74783,2657.020981,124,9.581353139
9463,41072,3630.210362,46,10.60664031
9464,45825,4054.555374,99,13.74640257
9471,147163,2375.597127,229,15.39250844
9472,103664,2810.04013,161,10.82384719
9473,86747,3577.068948,88,11.89926777
9474,116203,2599.760763,139,11.741776
9475,94801,3415.575785,269,12.30382822
9476,66743,3047.5106,56,11.64349959
9477,71566,2789.033899,88,11.35021736
9478,66776,3023.541392,104,12.98015481
9479,72655,3972.197371,154,13.6669004
9561,41798,2775.252404,91,13.13113131
9562,112528,2357.635433,72,8.015832153
9563,128497,3598.527592,147,11.75871204
9564,518370,4211.856396,556,11.93645493
9565,40981,3611.429687,26,11.78121223
9571,184591,2389.607294,206,11.65276162
9572,137262,2461.715551,104,10.44402533
9573,117853,2970.649877,110,12.06521739
9574,170792,2589.114244,118,11.37428788
9575,101014,2322.450353,96,10.82391488
9576,126749,2970.437637,71,11.59299205
9577,94734,2641.079232,83,11.16978365
9661,71002,2752.035154,88,11.84699454
9662,53426,2755.212818,35,15.4718417
9663,127934,2166.742226,85,7.958050586
9671,174200,3083.237658,228,11.35889531
9672,103235,2008.039909,94,11.31128399
9673,79635,2436.114774,74,10.28853983
9674,84384,2725.635192,63,12.76820517
9675,91155,2095.332127,96,10.80267742
9676,128743,2966.374871,245,11.16055559
9677,126158,2390.652991,55,10.31248846
9678,115445,2751.093594,89,11.88007995
9679,162302,1714.704686,124,9.08554517
9761,296582,3816.482457,331,13.46644134
9762,44398,3130.771656,20,13.91025926
9763,69151,2174.950471,40,13.32049107
9764,44100,2535.147392,40,15.13176144
9771,134655,2484.868739,88,14.21215751
9772,253468,2876.891758,142,13.65712977
9773,96562,2449.20362,54,16.50625778
9774,127027,3294.575169,88,15.85947903
9775,175204,2592.406566,124,14.10788382
9776,81981,2615.240117,62,8.932555346
9777,141182,2612.231021,63,11.38530099
9778,145341,2631.741904,158,15.22022877
9779,133783,2608.702152,65,13.14543863
9780,156008,2222.321932,94,10.23989899
10041,328714,3080.793638,446,9.812364922
10042,103243,2209.350755,115,9.092513558
10043,131408,2256.331426,160,10.7015547
10044,194319,2780.994139,273,9.883609361
10045,142196,2061.239416,145,11.1091448
10046,87007,2412.449573,108,8.095373833
12051,72184,1875.761942,93,16.99270898
12052,99678,3729.007404,181,23.92093447
12053,57751,2448.442451,112,21.59699893
12054,180334,2493.151596,173,12.6477722
12060,185244,2007.082551,123,20.33890719
12061,170791,2691.593819,202,21.09934209
12062,101827,4412.385713,175,23.73411923
12063,162996,2224.594469,180,17.7679852
12064,195751,2227.830254,161,20.52818991
12065,212914,2254.90104,243,19.0759467
12066,109371,4468.277697,243,25.42910228
12067,178803,2837.200718,106,21.80948776
12068,98861,2934.423079,244,18.20725826
12069,216566,2430.667787,208,15.17068423
12070,76158,2551.274981,174,18.0817506
12071,113720,4482.061203,195,28.38451557
12072,169997,2449.45499,115,19.67406422
12073,118947,2042.085971,188,20.45923669
13003,209191,626.7000014,90,14.52056143
13004,95653,1417.624121,79,15.45850272
13071,258074,1829.320272,333,19.34524598
13072,215794,771.5691817,100,17.95943789
13073,224702,853.1299232,115,20.18759851
13074,157322,1084.400147,108,16.7904706
13075,235623,1744.736295,390,22.41165371
13076,211779,1487.399601,243,17.50223885
14511,246334,3913.385891,181,24.08401147
14521,334948,5866.582275,297,28.45098606
14522,304099,4732.998135,565,30.00051951
14523,225997,4458.023779,303,26.06688846
14524,315002,5317.109098,356,25.63092885
14612,556780,3688.350875,561,22.3247227
14625,299758,6061.556322,437,31.95953325
14626,252725,5552.675833,349,32.38601055
